Offense Type,Number Releases - Males ,Recidivism Rate - Males ,Number Releases - Females ,Recidivism Rate - Females ,Number Releases - Total ,Recidivism Rate - Total
Violent ,751,38%,138,33%,889,37%
Non-Violent,836,34%,551,34%,"1,387",34%
Total Releases,"1,587",36%,689,34%,"2,276",35%
