Age,Number Releases - Males ,Recidivism Rate - Males ,Number Releases - Females ,Recidivism Rate - Females ,Number Releases - Total ,Recidivism Rate - Total
18 - 24,161,48%,108,34%,269,42%
25 - 29,311,41%,143,39%,454,40%
30 - 34,295,35%,127,30%,422,34%
35 - 39,235,37%,97,38%,332,38%
40 - 44,227,33%,77,36%,304,34%
45 - 49,176,33%,81,31%,257,32%
50 - 54,97,30%,34,29%,131,30%
55 - 59,42,26%,13,n.a.,55,24%
60 or older,43,9%,9,n.a.,5200%,8%
