Release Type,Males Number Releases,Males Rec,Males Rate,Females Number Releases,Females Rec,Females Rate,Total Releases,Total Rec,Total Rate
Parole To Street,319,60,19%,109,19,17%,428,79,18%
Expiration of Sentence,"1,268",423,33%,580,186,32%,"1,848",609,33%
Total Releases,"1,587",483,30%,689,205,30%,"2,276",688,30%
