Gender,Number of Releases, 1st Year Rec, 1st Year Rate,2nd Year Rec,2nd Year Rate,3rd Year Rec,3rd Year Rate,Total Rec,Total Rate
Female,689,112,16%,47,7%,46,7%,205,30%
Male,"1,587",222,14%,155,10%,106,7%,483,30%
Total,"2,276",334,15%,202,9%,152,7%,688,30%
