Municipality,Type,County,State,Address - Combined,latitude,longitude
Chatham,Town,Barnstable,MA,"Chatham, MA, USA",41.68209,-69.959766
Chelmsford,Town,Middlesex,MA,"Chelmsford, MA, USA",42.599814,-71.367284
Chelsea,City,Suffolk,MA,"Chelsea, MA, USA",42.391764,-71.032828
Cheshire,Town,Berkshire,MA,"Cheshire, MA, USA",42.562028,-73.162881
Chester,Town,Hampden,MA,"Chester, MA, USA",42.279255,-72.978712
Chesterfield,Town,Hampshire,MA,"Chesterfield, MA, USA",42.391754,-72.839817
Chicopee,City,Hampden,MA,"Chicopee, MA, USA",42.148704,-72.607867
Chilmark,Town,Dukes,MA,"Chilmark, MA, USA",41.343169,-70.74475
Clarksburg,Town,Berkshire,MA,"Clarksburg, MA, USA",42.717031,-73.092685
Clinton,Town,Worcester,MA,"Clinton, MA, USA",42.416763,-71.682908
Cohasset,Town,Norfolk,MA,"Cohasset, MA, USA",42.241767,-70.803654
Colrain,Town,Franklin,MA,"Colrain, MA, USA",42.67314,-72.696759
Concord,Town,Middlesex,MA,"Concord, MA, USA",42.460372,-71.348948
Conway,Town,Franklin,MA,"Conway, MA, USA",42.509809,-72.699535
Cummington,Town,Hampshire,MA,"Cummington, MA, USA",42.459188,-72.891371
Dalton,Town,Berkshire,MA,"Dalton, MA, USA",42.473696,-73.166214
Danvers,Town,Essex,MA,"Danvers, MA, USA",42.575001,-70.932122
Dartmouth,Town,Bristol,MA,"Dartmouth, MA, USA",41.613032,-70.970479
Dedham,Town,Norfolk,MA,"Dedham, MA, USA",42.243609,-71.167654
Deerfield,Town,Franklin,MA,"Deerfield, MA, USA",42.544559,-72.605643
Dennis,Town,Barnstable,MA,"Dennis, MA, USA",41.735306,-70.193943
Dighton,Town,Bristol,MA,"Dighton, MA, USA",41.843859,-71.156734
Douglas,Town,Worcester,MA,"Douglas, MA, USA",42.054345,-71.739379
Dover,Town,Norfolk,MA,"Dover, MA, USA",42.245875,-71.282872
Dracut,Town,Middlesex,MA,"Dracut, MA, USA",42.670369,-71.302005
Dudley,Town,Worcester,MA,"Dudley, MA, USA",42.043366,-71.927603
Dunstable,Town,Middlesex,MA,"Dunstable, MA, USA",42.67509,-71.482843
Duxbury,Town,Plymouth,MA,"Duxbury, MA, USA",42.041753,-70.672277
East Bridgewater,Town,Plymouth,MA,"East Bridgewater, MA, USA",42.033434,-70.95921
East Brookfield,Town,Worcester,MA,"East Brookfield, MA, USA",42.226693,-72.046446
East Longmeadow,Town,Hampden,MA,"East Longmeadow, MA, USA",42.06454,-72.512586
Eastham,Town,Barnstable,MA,"Eastham, MA, USA",41.829963,-69.974036
Easthampton,City,Hampshire,MA,"Easthampton, MA, USA",42.266757,-72.66898
Easton,Town,Bristol,MA,"Easton, MA, USA",42.024544,-71.128659
Edgartown,Town,Dukes,MA,"Edgartown, MA, USA",41.389005,-70.51336
Egremont,Town,Berkshire,MA,"Egremont, MA, USA",42.177725,-73.441593
Erving,Town,Franklin,MA,"Erving, MA, USA",42.600086,-72.398142
Essex,Town,Essex,MA,"Essex, Essex, MA 01929, USA",42.632039,-70.782825
Everett,City,Middlesex,MA,"Everett, MA, USA",42.40843,-71.053662
Fairhaven,Town,Bristol,MA,"Fairhaven, MA, USA",41.637604,-70.903649
Fall River,City,Bristol,MA,"Fall River, MA, USA",41.701491,-71.155045
Falmouth,Town,Barnstable,MA,"Falmouth, MA, USA",41.553221,-70.608589
Fitchburg,City,Worcester,MA,"Fitchburg, MA, USA",42.583423,-71.802296
Florida,Town,Berkshire,MA,"Florida, MA, USA",42.66675,-73.011212
Foxborough,Town,Norfolk,MA,"Foxborough, MA, USA",42.065381,-71.247825
Framingham,Town,Middlesex,MA,"Framingham, MA, USA",42.279286,-71.416156
Franklin,City,Norfolk,MA,"Franklin, MA, USA",42.083431,-71.396725
Freetown,Town,Bristol,MA,"Freetown, MA, USA",41.761971,-71.014118
Gardner,City,Worcester,MA,"Gardner, MA, USA",42.575088,-71.998133
Georgetown,Town,Essex,MA,"Georgetown, MA, USA",42.725092,-70.991166
Gill,Town,Franklin,MA,"Gill, MA, USA",42.640811,-72.499637
Gloucester,City,Essex,MA,"Gloucester, MA, USA",42.615929,-70.661989
Goshen,Town,Hampshire,MA,"Goshen, MA, USA",42.440719,-72.799399
Gosnold,Town,Dukes,MA,"Gosnold, MA, USA",41.452106,-70.835779
Grafton,Town,Worcester,MA,"Grafton, MA, USA",42.207039,-71.685624
Granby,Town,Hampshire,MA,"Granby, MA, USA",42.257087,-72.516886
Granville,Town,Hampden,MA,"Granville, MA, USA",42.099655,-72.922433
Great Barrington,Town,Berkshire,MA,"Great Barrington, MA, USA",42.19598,-73.362008
Greenfield,City,Franklin,MA,"Greenfield, MA, USA",42.587915,-72.59941
Groton,Town,Middlesex,MA,"Groton, MA, USA",42.611202,-71.574515
Groveland,Town,Essex,MA,"Groveland, MA, USA",42.760369,-71.031445
