Area_Name,Labor_Force,Employment,Unemployment,Rate
Abington Town,"8,972","8,496",475,5.3
Acton Town,"12,196","11,766",431,3.5
Acushnet Town,"6,069","5,704",366,6.0
Adams Town,"4,344","4,057",286,6.6
Agawam Town,"15,978","15,198",780,4.9
Alford Town,243,235,9,3.6
Amesbury Town,"9,819","9,400",419,4.3
Amherst Town,"18,460","17,652",808,4.4
Andover Town,"17,576","16,908",668,3.8
Aquinnah Town,208,198,10,5.0
Arlington Town,"25,858","25,038",820,3.2
Ashburnham Town,"3,580","3,401",179,5.0
Ashby Town,"1,852","1,778",74,4.0
Ashfield Town,"1,152","1,115",37,3.2
Ashland Town,"10,451","10,091",360,3.5
Athol Town,"5,674","5,289",385,6.8
Attleborough City,"24,269","23,072","1,198",4.9
Auburn Town,"9,350","8,899",451,4.8
Avon Town,"2,696","2,569",127,4.7
Ayer Town,"4,067","3,853",214,5.3
Barnstable Town,"23,720","22,449","1,271",5.4
Barre Town,"2,943","2,773",170,5.8
Becket Town,954,904,50,5.2
Bedford Town,"7,068","6,812",255,3.6
Belchertown Town,"8,365","8,026",339,4.1
Bellingham Town,"9,992","9,536",456,4.6
Belmont Town,"13,357","12,921",436,3.3
Berkley Town,"3,612","3,421",191,5.3
Berlin Town,"1,769","1,702",68,3.8
Bernardston Town,"1,203","1,146",57,4.7
Beverly City,"22,885","21,893",991,4.3
Billerica Town,"23,086","22,073","1,013",4.4
Blackstone Town,"5,248","4,978",270,5.2
Blandford Town,750,717,33,4.4
Bolton Town,"2,857","2,763",93,3.3
Boston City,"359,565","343,505","16,060",4.5
Bourne Town,"10,450","9,855",596,5.7
Boxborough Town,"2,906","2,805",101,3.5
Boxford Town,"4,334","4,184",149,3.5
Boylston Town,"2,654","2,542",112,4.2
Braintree Town,"20,225","19,345",880,4.4
Brewster Town,"5,051","4,790",261,5.2
Bridgewater Town,"14,452","13,822",630,4.4
Brimfield Town,"2,236","2,132",104,4.6
Brockton City,"47,697","44,501","3,196",6.7
Brookfield Town,"1,878","1,778",100,5.3
Brookline Town,"32,726","31,844",882,2.7
Buckland Town,936,903,34,3.6
Burlington Town,"14,257","13,733",524,3.7
Cambridge City,"63,605","61,660","1,945",3.1
Canton Town,"11,660","11,161",499,4.3
Carlisle Town,"2,454","2,361",93,3.8
Carver Town,"6,609","6,266",343,5.2
Charlemont Town,640,605,35,5.5
Charlton Town,"7,792","7,444",348,4.5
Chatham Town,"2,909","2,751",159,5.5
Chelmsford Town,"18,716","17,947",770,4.1
Chelsea City,"19,169","18,191",978,5.1
Cheshire Town,"1,945","1,844",101,5.2
Chester Town,733,699,34,4.7
Chesterfield Town,745,719,26,3.5
Chicopee City,"27,725","25,951","1,773",6.4
Chilmark Town,465,443,22,4.8
Clarksburg Town,883,832,51,5.8
Clinton Town,"8,239","7,779",460,5.6
Cohasset Town,"4,122","3,973",149,3.6
Colrain Town,989,940,48,4.9
Concord Town,"8,381","8,076",305,3.6
Conway Town,"1,203","1,167",36,3.0
Cummington Town,462,442,20,4.4
Dalton Town,"3,560","3,396",163,4.6
Danvers Town,"15,511","14,892",619,4.0
Dartmouth Town,"18,609","17,631",979,5.3
Dedham Town,"13,421","12,847",575,4.3
Deerfield Town,"3,067","2,954",113,3.7
Dennis Town,"6,654","6,190",464,7.0
Dighton Town,"3,885","3,696",189,4.9
Douglas Town,"5,125","4,909",216,4.2
Dover Town,"2,668","2,580",88,3.3
Dracut Town,"17,369","16,573",796,4.6
Dudley Town,"6,375","6,038",337,5.3
Dunstable Town,"1,883","1,816",67,3.6
Duxbury Town,"7,336","7,027",310,4.2
East Bridgewater Town,"8,549","8,172",377,4.4
East Brookfield Town,"1,218","1,153",65,5.3
East Longmeadow Town,"8,659","8,304",355,4.1
Eastham Town,"2,612","2,433",179,6.9
Easthampton Town,"9,560","9,150",410,4.3
Easton Town,"13,695","13,154",541,4.0
Edgartown Town,"2,333","2,141",192,8.2
Egremont Town,732,709,23,3.1
Erving Town,964,922,42,4.4
Essex Town,"2,168","2,075",93,4.3
Everett City,"24,297","23,189","1,109",4.6
Fairhaven Town,"9,493","8,909",584,6.2
Fall River City,"40,197","36,735","3,462",8.6
Falmouth Town,"15,417","14,518",900,5.8
Fitchburg City,"19,492","18,182","1,310",6.7
Florida Town,421,397,24,5.7
Foxborough Town,"9,802","9,391",411,4.2
Framingham Town,"39,838","38,399","1,439",3.6
Franklin Town,"17,628","16,931",697,4.0
Freetown Town,"5,259","4,984",275,5.2
Gardner City,"9,639","9,018",621,6.4
Georgetown Town,"4,593","4,421",172,3.7
