Area_Name,Labor_Force,Employment,Unemployment,Rate
Gill Town,928,891,37,4.0
Gloucester City,"15,612","14,623",989,6.3
Goshen Town,649,626,22,3.5
Gosnold Town,51,46,4,8.6
Grafton Town,"9,989","9,557",432,4.3
Granby Town,"3,732","3,555",177,4.8
Granville Town,900,856,44,4.9
Great Barrington Town,"3,777","3,610",167,4.4
Greenfield Town,"9,411","8,990",421,4.5
Groton Town,"5,938","5,724",214,3.6
Groveland Town,"4,122","3,969",153,3.7
Hadley Town,"3,006","2,897",109,3.6
Halifax Town,"4,229","4,015",214,5.1
Hamilton Town,"4,271","4,122",150,3.5
Hampden Town,"2,972","2,859",113,3.8
Hancock Town,412,396,16,3.8
Hanover Town,"7,518","7,225",294,3.9
Hanson Town,"6,149","5,863",286,4.7
Hardwick Town,"1,605","1,519",85,5.3
Harvard Town,"2,706","2,611",95,3.5
Harwich Town,"6,093","5,721",372,6.1
Hatfield Town,"1,789","1,707",82,4.6
Haverhill City,"34,040","32,261","1,779",5.2
Hawley Town,209,199,10,4.9
Heath Town,366,351,15,4.2
Hingham Town,"10,670","10,281",389,3.7
Hinsdale Town,"1,092","1,017",76,6.9
Holbrook Town,"6,132","5,777",355,5.8
Holden Town,"10,028","9,634",395,3.9
Holland Town,"1,624","1,542",82,5.1
Holliston Town,"7,413","7,109",304,4.1
Holyoke City,"16,396","15,106","1,290",7.9
Hopedale Town,"3,143","3,011",132,4.2
Hopkinton Town,"8,012","7,700",312,3.9
Hubbardston Town,"2,500","2,388",112,4.5
Hudson Town,"10,693","10,174",519,4.9
Hull Town,"5,974","5,657",318,5.3
Huntington Town,"1,185","1,123",63,5.3
Ipswich Town,"7,683","7,381",302,3.9
Kingston Town,"6,882","6,559",323,4.7
Lakeville Town,"6,386","6,105",281,4.4
Lancaster Town,"3,963","3,809",154,3.9
Lanesborough Town,"1,788","1,699",89,5.0
Lawrence City,"35,392","32,086","3,306",9.3
Lee Town,"3,417","3,271",145,4.3
Leicester Town,"6,723","6,399",324,4.8
Lenox Town,"1,886","1,790",96,5.1
Leominster City,"22,000","20,716","1,285",5.8
Leverett Town,"1,106","1,071",35,3.2
Lexington Town,"15,790","15,249",541,3.4
Leyden Town,478,460,18,3.8
Lincoln Town,"2,834","2,733",100,3.5
Littleton Town,"5,078","4,894",184,3.6
Longmeadow Town,"8,143","7,852",292,3.6
Lowell City,"54,568","51,172","3,396",6.2
Ludlow Town,"10,978","10,297",681,6.2
Lunenburg Town,"6,227","5,948",279,4.5
Lynn City,"47,317","44,740","2,577",5.5
Lynnfield Town,"6,870","6,641",229,3.3
Malden City,"33,475","31,970","1,504",4.5
Manchester-by-the-Sea Town,"2,666","2,564",102,3.8
Mansfield Town,"13,407","12,866",542,4.0
Marblehead Town,"10,905","10,506",400,3.7
Marion Town,"2,520","2,409",111,4.4
Marlborough City,"23,548","22,590",958,4.1
Marshfield Town,"14,739","14,121",618,4.2
Mashpee Town,"7,725","7,292",434,5.6
Mattapoisett Town,"3,122","2,967",155,5.0
Maynard Town,"6,154","5,911",244,4.0
Medfield Town,"6,444","6,215",229,3.6
Medford City,"33,641","32,314","1,327",3.9
Medway Town,"7,245","6,958",288,4.0
Melrose City,"16,057","15,473",584,3.6
Mendon Town,"3,220","3,091",129,4.0
Merrimac Town,"3,847","3,692",156,4.0
Methuen Town,"26,308","24,882","1,426",5.4
Middleborough Town,"12,710","12,047",664,5.2
Middlefield Town,344,330,14,4.1
Middleton Town,"4,335","4,145",189,4.4
Milford Town,"15,437","14,702",736,4.8
Millbury Town,"8,013","7,627",386,4.8
Millis Town,"4,285","4,085",200,4.7
Millville Town,"1,766","1,677",90,5.1
Milton Town,"13,946","13,364",583,4.2
Monroe Town,77,71,6,8.2
Monson Town,"4,853","4,608",245,5.1
Montague Town,"4,267","4,030",237,5.6
Monterey Town,456,437,20,4.3
Montgomery Town,515,494,21,4.1
Mount Washington Town,89,86,3,3.7
Nantucket Town LMA,"6,900","6,527",373,5.4
Nahant Town,"1,992","1,913",79,4.0
Natick Town,"20,107","19,435",671,3.3
Needham Town,"15,183","14,688",495,3.3
New Ashford Town,139,132,7,5.3
New Bedford City,"47,257","43,200","4,057",8.6
New Braintree Town,552,522,30,5.5
New Marlborough Town,838,804,34,4.0
New Salem Town,593,566,27,4.5
Newbury Town,"3,628","3,478",151,4.2
Newburyport City,"9,762","9,369",393,4.0
Newton City,"46,735","45,066","1,669",3.6
Norfolk Town,"5,115","4,911",204,4.0
North Adams Town,"6,225","5,757",468,7.5
North Andover Town,"15,474","14,812",662,4.3
North Attleborough Town,"16,096","15,339",757,4.7
North Brookfield Town,"2,667","2,534",133,5.0
North Reading Town,"8,550","8,214",336,3.9
Northampton City,"16,144","15,561",583,3.6
Northborough Town,"7,904","7,584",320,4.1
Northbridge Town,"8,956","8,504",452,5.0
Northfield Town,"1,743","1,682",61,3.5
Norton Town,"10,568","10,056",512,4.8
Norwell Town,"5,030","4,821",209,4.2
Norwood Town,"16,027","15,339",688,4.3
Oak Bluffs Town,"2,501","2,340",161,6.4
Oakham Town,"1,101","1,035",66,6.0
Orange Town,"3,558","3,333",225,6.3
Orleans Town,"2,850","2,714",136,4.8
Otis Town,799,759,40,5.0
Oxford Town,"8,308","7,941",366,4.4
Palmer Town,"6,252","5,838",415,6.6
Paxton Town,"2,669","2,561",108,4.1
Peabody City,"28,922","27,652","1,270",4.4
Pelham Town,716,688,28,4.0
Pembroke Town,"10,367","9,896",471,4.5
Pepperell Town,"6,906","6,613",293,4.3
Peru Town,508,482,26,5.1
Petersham Town,669,639,30,4.5
Phillipston Town,955,904,51,5.3
Pittsfield City,"22,081","20,815","1,266",5.7
Plainfield Town,352,336,16,4.6
Plainville Town,"5,466","5,237",229,4.2
Plymouth Town,"30,847","29,274","1,572",5.1
Plympton Town,"1,589","1,511",78,4.9
Princeton Town,"1,938","1,864",74,3.8
Provincetown Town,"2,225","1,800",425,19.1
Quincy City,"53,609","51,094","2,515",4.7
Randolph Town,"17,752","16,725","1,027",5.8
Raynham Town,"7,229","6,868",362,5.0
Reading Town,"13,957","13,471",487,3.5
Rehoboth Town,"6,852","6,554",298,4.4
Revere City,"28,767","27,350","1,417",4.9
Richmond Town,777,747,30,3.9
Rochester Town,"3,183","3,037",146,4.6
Rockland Town,"9,765","9,251",514,5.3
Rockport Town,"3,569","3,372",196,5.5
Rowe Town,159,149,10,6.5
Rowley Town,"3,330","3,186",144,4.3
Royalston Town,721,682,39,5.4
Russell Town,"1,012",964,48,4.7
Rutland Town,"4,496","4,297",199,4.4
Salem City,"23,936","22,749","1,187",5.0
Salisbury Town,"5,211","4,952",259,5.0
Sandisfield Town,490,468,22,4.5
Sandwich Town,"11,309","10,794",515,4.6
Saugus Town,"15,931","15,220",711,4.5
Savoy Town,400,371,29,7.1
Scituate Town,"9,241","8,852",390,4.2
Seekonk Town,"7,965","7,595",370,4.7
Sharon Town,"9,824","9,475",349,3.6
Sheffield Town,"1,931","1,854",76,4.0
Shelburne Town,"1,166","1,110",57,4.9
Sherborn Town,"2,213","2,145",68,3.1
Shirley Town,"2,957","2,804",154,5.2
Shrewsbury Town,"19,896","19,154",742,3.7
Shutesbury Town,"1,100","1,062",38,3.4
Somerset Town,"9,280","8,774",506,5.5
Somerville City,"50,244","48,637","1,607",3.2
South Hadley Town,"9,669","9,227",441,4.6
Southampton Town,"3,687","3,539",148,4.0
Southborough Town,"5,358","5,178",180,3.4
Southbridge Town,"8,200","7,584",616,7.5
Southwick Town,"5,520","5,251",268,4.9
Spencer Town,"6,088","5,726",362,5.9
Springfield City,"64,169","58,333","5,836",9.1
Sterling Town,"4,312","4,120",191,4.4
Stockbridge Town,966,925,42,4.3
Stoneham Town,"12,616","12,089",527,4.2
Stoughton Town,"15,896","15,115",781,4.9
Stow Town,"3,743","3,615",128,3.4
Sturbridge Town,"5,092","4,846",246,4.8
Sudbury Town,"9,083","8,780",303,3.3
Sunderland Town,"2,525","2,441",84,3.3
Sutton Town,"5,305","5,064",240,4.5
Swampscott Town,"8,103","7,811",292,3.6
Swansea Town,"9,362","8,877",485,5.2
Taunton City,"29,802","28,050","1,752",5.9
Templeton Town,"4,348","4,117",232,5.3
Tewksbury Town,"16,622","15,885",736,4.4
Tisbury Town,"2,173","2,001",172,7.9
Tolland Town,284,271,13,4.6
Topsfield Town,"3,380","3,271",109,3.2
Townsend Town,"5,302","5,062",240,4.5
Truro Town,"1,270","1,114",156,12.3
Tyngsborough Town,"6,782","6,480",302,4.5
Tyringham Town,163,154,9,5.2
Upton Town,"4,216","4,045",171,4.1
Uxbridge Town,"7,929","7,552",377,4.8
Wakefield Town,"15,260","14,674",586,3.8
Wales Town,982,931,51,5.2
Walpole Town,"12,954","12,440",514,4.0
Waltham City,"37,009","35,610","1,399",3.8
Ware Town,"5,284","4,959",325,6.1
Wareham Town,"12,395","11,656",739,6.0
Warren Town,"2,462","2,316",147,6.0
Warwick Town,505,484,20,4.1
Washington Town,318,303,16,4.9
Watertown Town,"20,830","20,132",698,3.4
Wayland Town,"6,871","6,631",241,3.5
Webster Town,"8,763","8,201",563,6.4
Wellesley Town,"13,234","12,768",467,3.5
Wellfleet Town,"1,680","1,507",173,10.3
Wendell Town,467,438,28,6.1
Wenham Town,"2,615","2,520",95,3.6
West Boylston Town,"3,162","2,990",172,5.4
West Bridgewater Town,"3,790","3,624",167,4.4
West Brookfield Town,"2,104","1,994",110,5.2
West Newbury Town,"2,339","2,259",80,3.4
West Springfield Town,"14,715","13,915",800,5.4
West Stockbridge Town,793,762,31,3.9
West Tisbury Town,"1,491","1,425",65,4.4
Westborough Town,"10,313","9,967",346,3.4
Westfield City,"21,151","19,944","1,208",5.7
Westford Town,"11,995","11,542",453,3.8
Westhampton Town,"1,031",985,46,4.4
Westminster Town,"4,367","4,175",192,4.4
Weston Town,"5,306","5,137",168,3.2
Westport Town,"8,342","7,817",524,6.3
Westwood Town,"7,533","7,280",253,3.4
Weymouth Town,"30,533","29,032","1,501",4.9
Whately Town,"1,009",980,29,2.9
Whitman Town,"9,099","8,677",422,4.6
Wilbraham Town,"7,570","7,252",318,4.2
Williamsburg Town,"1,439","1,377",62,4.3
Williamstown Town,"3,206","3,056",150,4.7
Wilmington Town,"12,810","12,258",552,4.3
Winchendon Town,"5,532","5,219",313,5.7
Winchester Town,"10,691","10,334",357,3.3
Windsor Town,521,501,20,3.9
Winthrop Town,"10,426","9,954",472,4.5
Woburn City,"22,659","21,709",950,4.2
Worcester City,"92,010","86,636","5,374",5.8
Worthington Town,688,655,32,4.7
Wrentham Town,"6,475","6,218",257,4.0
Yarmouth Town,"12,045","11,257",788,6.5
